,temperature,exhaust_vaccum,ambient_pressure,relative_humidity,electric_power
0,14.96,41.76,1024.07,73.17,463.26
1,14.96,62.96,1020.04,59.08,444.37
2,14.96,39.4,1012.16,92.14,488.56
3,14.96,57.32,1010.24,76.64,446.48
4,14.96,37.5,1009.23,96.62,473.9
5,14.96,59.44,1012.23,58.77,443.67
6,14.96,43.96,1014.02,75.24,467.35
7,14.96,44.71,1019.12,66.43,478.42
8,14.96,45.0,1021.78,41.25,475.98
9,14.96,43.56,1015.14,70.72,477.5
10,14.96,43.72,1008.64,75.04,453.02
11,14.96,46.93,1014.66,64.22,453.99
12,14.96,73.5,1011.31,84.15,440.29
13,14.96,58.59,1012.77,61.83,451.28
14,14.96,69.34,1009.48,87.59,433.99
15,14.96,43.79,1015.76,43.08,462.19
16,14.96,45.0,1022.86,48.84,467.54
17,14.96,41.74,1022.6,77.51,477.2
18,14.96,52.75,1023.97,63.59,459.85
19,14.96,38.47,1015.15,55.28,464.3
20,14.96,42.42,1009.09,66.26,468.27
21,14.96,40.07,1019.16,64.77,495.24
22,14.96,42.28,1008.52,83.31,483.8
23,14.96,63.9,1014.3,47.19,443.61
24,27.36,48.6,1003.18,54.93,436.06
25,27.47,70.72,1009.97,74.62,443.25
26,14.6,39.31,1011.11,72.52,464.16
27,7.91,39.96,1023.57,88.44,475.52
28,5.81,35.79,1012.14,92.28,484.41
29,30.53,65.18,1012.69,41.85,437.89
30,23.87,63.94,1019.02,44.28,445.11
31,26.09,58.41,1013.64,64.58,438.86
32,29.27,66.85,1011.11,63.25,440.98
33,27.38,74.16,1010.08,78.61,436.65
34,24.81,63.94,1018.76,44.51,444.26
35,12.75,44.03,1007.29,89.46,465.86
36,24.66,63.73,1011.4,74.52,444.37
37,16.38,47.45,1010.08,88.86,450.69
38,13.91,39.35,1014.69,75.51,469.02
39,23.18,51.3,1012.04,78.64,448.86
40,22.47,47.45,1007.62,76.65,447.14
41,13.39,44.85,1017.24,80.44,469.18
42,9.28,41.54,1018.33,79.89,482.8
43,11.82,42.86,1014.12,88.28,476.7
44,10.27,40.64,1020.63,84.6,474.99
45,22.92,63.94,1019.28,42.69,444.22
46,16.0,37.87,1020.24,78.41,461.33
47,21.22,43.43,1010.96,61.07,448.06
48,13.46,44.71,1014.51,50.0,474.6
49,9.39,40.11,1029.14,77.29,473.05
50,31.07,73.5,1010.58,43.66,432.06
51,12.82,38.62,1018.71,83.8,467.41
52,32.57,78.92,1011.6,66.47,430.12
53,8.11,42.18,1014.82,93.09,473.62
54,13.92,39.39,1012.94,80.52,471.81
55,23.04,59.43,1010.23,68.99,442.99
56,27.31,64.44,1014.65,57.27,442.77
57,5.91,39.33,1010.18,95.53,491.49
58,25.26,61.08,1013.68,71.72,447.46
59,27.97,58.84,1002.25,57.88,446.11
60,26.08,52.3,1007.03,63.34,442.44
61,29.01,65.71,1013.61,48.07,446.22
62,12.18,40.1,1016.67,91.87,471.49
63,13.76,45.87,1008.89,87.27,463.5
64,25.5,58.79,1016.02,64.4,440.01
65,28.26,65.34,1014.56,43.4,441.03
66,21.39,62.96,1019.49,72.24,452.68
67,7.26,40.69,1020.43,90.22,474.91
68,10.54,34.03,1018.71,74.0,478.77
69,27.71,74.34,998.14,71.85,434.2
70,23.11,68.3,1017.83,86.62,437.91
71,7.51,41.01,1024.61,97.41,477.61
72,26.46,74.67,1016.65,84.44,431.65
73,29.34,74.34,998.58,81.55,430.57
74,10.32,42.28,1008.82,75.66,481.09
75,22.74,61.02,1009.56,79.41,445.56
76,13.48,39.85,1012.71,58.91,475.74
77,25.52,69.75,1010.36,90.06,435.12
78,21.58,67.25,1017.39,79.0,446.15
79,27.66,76.86,1001.31,69.47,436.64
80,26.96,69.45,1013.89,51.47,436.69
81,12.29,42.18,1016.53,83.13,468.75
82,15.86,43.02,1012.18,40.33,466.6
83,13.87,45.08,1024.42,81.69,465.48
84,24.09,73.68,1014.93,94.55,441.34
85,20.45,69.45,1012.53,91.81,441.83
86,15.07,39.3,1019.0,63.62,464.7
87,32.72,69.75,1009.6,49.35,437.99
88,18.23,58.96,1015.55,69.61,459.12
89,35.56,68.94,1006.56,38.75,429.69
90,18.36,51.43,1010.57,90.17,459.8
91,26.35,64.05,1009.81,81.24,433.63
92,25.92,60.95,1014.62,48.46,442.84
93,8.01,41.66,1014.49,76.72,485.13
94,19.63,52.72,1025.09,51.16,459.12
95,20.02,67.32,1012.05,76.34,445.31
96,10.08,40.72,1022.7,67.3,480.8
97,27.23,66.48,1005.23,52.38,432.55
98,23.37,63.77,1013.42,76.44,443.86
99,18.74,59.21,1018.3,91.55,449.77
100,14.81,43.69,1017.19,71.9,470.71
101,23.1,51.3,1011.93,80.05,452.17
102,10.72,41.38,1021.6,63.77,478.29
103,29.46,71.94,1006.96,62.26,428.54
104,8.1,40.64,1020.66,89.04,478.27
105,27.29,62.66,1007.63,58.02,439.58
106,17.1,49.69,1005.53,81.82,457.32
107,11.49,44.2,1018.79,91.14,475.51
108,23.69,65.59,1010.85,88.92,439.66
109,13.51,40.89,1011.03,84.83,471.99
110,9.64,39.35,1015.1,91.76,479.81
111,25.65,78.92,1010.83,86.56,434.78
112,21.59,61.87,1011.18,57.21,446.58
113,27.98,58.33,1013.92,54.25,437.76
114,18.8,39.72,1001.24,63.8,459.36
115,18.28,44.71,1016.99,33.71,462.28
116,13.55,43.48,1016.08,67.25,464.33
117,22.99,46.21,1010.71,60.11,444.36
118,23.94,59.39,1014.32,74.55,438.64
119,13.74,34.03,1018.69,67.34,470.49
120,21.3,41.1,1001.86,42.75,455.13
121,27.54,66.93,1017.06,55.2,450.22
122,24.81,63.73,1009.34,83.61,440.43
123,4.97,42.85,1014.02,88.78,482.98
124,15.22,50.88,1014.19,100.12,460.44
125,23.88,54.2,1012.81,64.52,444.97
126,33.01,68.67,1005.2,51.41,433.94
127,25.98,73.18,1012.28,85.78,439.73
128,28.18,73.88,1005.89,75.41,434.48
129,21.67,60.84,1017.93,81.63,442.33
130,17.67,45.09,1014.26,51.92,457.67
131,21.37,57.76,1018.8,70.12,454.66
132,28.69,67.25,1017.71,53.83,432.21
133,16.61,43.77,1012.25,77.23,457.66
134,27.91,63.76,1010.27,65.67,435.21
135,20.97,47.43,1007.64,71.18,448.22
136,10.8,41.66,1013.79,81.96,475.51
137,20.61,62.91,1013.24,79.54,446.53
138,25.45,57.32,1011.7,47.09,441.3
139,30.16,69.34,1007.67,57.69,433.54
140,4.99,39.04,1020.45,78.89,472.52
141,10.51,44.78,1012.59,85.29,474.77
142,33.79,69.05,1001.62,40.13,435.1
143,21.34,59.8,1016.92,77.06,450.74
144,23.4,65.06,1014.32,67.38,442.7
145,32.21,68.14,1003.34,62.44,426.56
146,14.26,42.32,1016.0,77.43,463.71
147,27.71,66.93,1016.85,58.77,447.06
148,21.95,57.76,1018.02,67.72,452.27
149,25.76,63.94,1018.49,42.14,445.78
150,23.68,68.3,1017.93,84.16,438.65
151,8.28,40.77,1011.55,89.79,480.15
152,23.44,62.52,1016.46,67.21,447.19
153,25.32,48.41,1008.47,72.14,443.04
154,3.94,39.9,1008.06,97.49,488.81
155,17.3,57.76,1016.26,87.74,455.75
156,18.2,49.39,1018.83,96.3,455.86
157,21.43,46.97,1013.94,61.25,457.68
158,11.16,40.05,1014.95,88.38,479.11
159,30.38,74.16,1007.44,74.77,432.84
160,23.36,62.52,1016.18,68.18,448.37
161,21.69,47.45,1007.56,77.2,447.06
162,23.62,49.21,1014.1,49.54,443.53
163,21.87,61.45,1011.13,92.22,445.21
164,29.25,66.51,1015.53,33.65,441.7
